縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
1,1120531,1,3068,3068
1,1120430,1,3068,3040
1,1120331,1,3040,3034
1,1120228,1,3034,3033
1,1120131,1,3033,3022
1,1111231,1,3022,3020
1,1111130,1,3020,3015
1,1111031,1,3015,3015
1,1110930,1,3015,3015
1,1110831,1,3015,3000
1,1110731,1,3000,2968
1,1110630,1,2968,2936
1,1110531,1,2936,2936
1,1110430,1,2936,2913
1,1110331,1,2913,2932
1,1110228,1,2932,2932
1,1110131,1,2932,2932
1,1101231,1,2932,2888
1,1101130,1,2888,2888
1,1101031,1,2888,2888
1,1100930,1,2888,2707
1,1100831,1,2707,2707
1,1100731,1,2707,2707
1,1100630,1,2707,2676
1,1100531,1,2676,2676
1,1100430,1,2676,2678
1,1100331,1,2678,2835
1,1100228,1,2835,2922
1,1100131,1,2922,2922
1,1091231,1,2922,2922
1,1091130,1,2922,2907
1,1091031,1,2907,2907
1,1090930,1,2907,3155
1,1090831,1,3155,3088
1,1090731,1,3088,3049
1,1090630,1,3049,3048
1,1090531,1,3048,2900
1,1090430,1,2900,2900
1,1090331,1,2900,2884
1,1090229,1,2884,2884
1,1090131,1,2884,2846
1,1081231,1,2846,2846
1,1081130,1,2846,2788
1,1081031,1,2788,2788
1,1080930,1,2788,2749
1,1080831,1,2749,2749
1,1080731,1,2749,2707
1,1080630,1,2707,2708
1,1080531,1,2708,2737
1,1080430,1,2737,2723
1,1080331,1,2723,2723
1,1080228,1,2723,2723
1,1080131,1,2723,2723
2,1120531,1,3131,3131
2,1120430,1,3131,3126
2,1120331,1,3126,3114
2,1120228,1,3114,3088
2,1120131,1,3088,3109
2,1111231,1,3109,3097
2,1111130,1,3097,3063
2,1111031,1,3063,3053
2,1110930,1,3053,3053
2,1110831,1,3053,3014
2,1110731,1,3014,2995
2,1110630,1,2995,2897
2,1110531,1,2897,2897
2,1110430,1,2897,2883
2,1110331,1,2883,2897
2,1110228,1,2897,2897
2,1110131,1,2897,2897
2,1101231,1,2897,2896
2,1101130,1,2896,2896
2,1101031,1,2896,2896
2,1100930,1,2896,2891
2,1100831,1,2891,2891
2,1100731,1,2891,2891
2,1100630,1,2891,2892
2,1100531,1,2892,2892
2,1100430,1,2892,2892
2,1100331,1,2892,3226
2,1100228,1,3226,3261
2,1100131,1,3261,3261
2,1091231,1,3261,3261
2,1091130,1,3261,3257
2,1091031,1,3257,3257
2,1090930,1,3257,3388
2,1090831,1,3388,3331
2,1090731,1,3331,3286
2,1090630,1,3286,3264
2,1090531,1,3264,3210
2,1090430,1,3210,3210
2,1090331,1,3210,3194
2,1090229,1,3194,3194
2,1090131,1,3194,3187
2,1081231,1,3187,3189
2,1081130,1,3189,3085
2,1081031,1,3085,3032
2,1080930,1,3032,2994
2,1080831,1,2994,2995
2,1080731,1,2995,2871
2,1080630,1,2871,2888
2,1080531,1,2888,2924
2,1080430,1,2924,2895
2,1080331,1,2895,2895
2,1080228,1,2895,2810
2,1080131,1,2810,2810
3,1120531,1,2154,2154
3,1120430,1,2154,2154
3,1120331,1,2154,2149
3,1120228,1,2149,2140
3,1120131,1,2140,2140
3,1111231,1,2140,2128
3,1111130,1,2128,2125
3,1111031,1,2125,2123
3,1110930,1,2123,2121
3,1110831,1,2121,2083
3,1110731,1,2083,2056
3,1110630,1,2056,2058
3,1110531,1,2058,2058
3,1110430,1,2058,2053
3,1110331,1,2053,2058
3,1110228,1,2058,2058
3,1110131,1,2058,2058
3,1101231,1,2058,2057
3,1101130,1,2057,2057
3,1101031,1,2057,2057
3,1100930,1,2057,2056
3,1100831,1,2056,2056
3,1100731,1,2056,2056
3,1100630,1,2056,2056
3,1100531,1,2056,2056
3,1100430,1,2056,2056
3,1100331,1,2056,2091
3,1100228,1,2091,2098
3,1100131,1,2098,2098
3,1091231,1,2098,2098
3,1091130,1,2098,2087
3,1091031,1,2087,2087
3,1090930,1,2087,2119
3,1090831,1,2119,2106
3,1090731,1,2106,2085
3,1090630,1,2085,2085
3,1090531,1,2085,2070
3,1090430,1,2070,2070
3,1090331,1,2070,2070
3,1090229,1,2070,2070
3,1090131,1,2070,2062
3,1081231,1,2062,2043
3,1081130,1,2043,2039
3,1081031,1,2039,2032
3,1080930,1,2032,1990
3,1080831,1,1990,1990
3,1080731,1,1990,1972
3,1080630,1,1972,1981
3,1080531,1,1981,1939
3,1080430,1,1939,1913
3,1080331,1,1913,1913
3,1080228,1,1913,1908
3,1080131,1,1908,1908
4,1120531,1,4921,4921
4,1120430,1,4921,4859
4,1120331,1,4859,4837
4,1120228,1,4837,4854
4,1120131,1,4854,4854
4,1111231,1,4854,4853
4,1111130,1,4853,4863
4,1111031,1,4863,4863
4,1110930,1,4863,4865
4,1110831,1,4865,4864
4,1110731,1,4864,4856
4,1110630,1,4856,4838
4,1110531,1,4838,4807
4,1110430,1,4807,4817
4,1110331,1,4817,4812
4,1110228,1,4812,4797
4,1110131,1,4797,4797
4,1101231,1,4797,4800
4,1101130,1,4800,4800
4,1101031,1,4800,4805
4,1100930,1,4805,4813
4,1100831,1,4813,4816
4,1100731,1,4816,4820
4,1100630,1,4820,4819
4,1100531,1,4819,4820
4,1100430,1,4820,4822
4,1100331,1,4822,4822
4,1100228,1,4822,4824
4,1100131,1,4824,4823
4,1091231,1,4823,4824
4,1091130,1,4824,4832
4,1091031,1,4832,4833
4,1090930,1,4833,5123
4,1090831,1,5123,4993
4,1090731,1,4993,4935
4,1090630,1,4935,4930
4,1090531,1,4930,4845
4,1090430,1,4845,4833
4,1090331,1,4833,4791
4,1090229,1,4791,4770
4,1090131,1,4770,4770
4,1081231,1,4770,4742
4,1081130,1,4742,4637
4,1081031,1,4637,4549
4,1080930,1,4549,4490
4,1080831,1,4490,4454
4,1080731,1,4454,4406
4,1080630,1,4406,4369
4,1080531,1,4369,4364
4,1080430,1,4364,4338
4,1080331,1,4338,4340
4,1080228,1,4340,4179
4,1080131,1,4179,4179
5,1120531,1,2255,2255
5,1120430,1,2255,2219
5,1120331,1,2219,2202
5,1120228,1,2202,2178
5,1120131,1,2178,2172
5,1111231,1,2172,2162
5,1111130,1,2162,2165
5,1111031,1,2165,2165
5,1110930,1,2165,2166
5,1110831,1,2166,2151
5,1110731,1,2151,2139
5,1110630,1,2139,2099
5,1110531,1,2099,2107
5,1110430,1,2107,2094
5,1110331,1,2094,2083
5,1110228,1,2083,2082
5,1110131,1,2082,2082
5,1101231,1,2082,2082
5,1101130,1,2082,2083
5,1101031,1,2083,2083
5,1100930,1,2083,2062
5,1100831,1,2062,2056
5,1100731,1,2056,2044
5,1100630,1,2044,2049
5,1100531,1,2049,2049
5,1100430,1,2049,2051
5,1100331,1,2051,2045
5,1100228,1,2045,2045
5,1100131,1,2045,2041
5,1091231,1,2041,2101
5,1091130,1,2101,2112
5,1091031,1,2112,2112
5,1090930,1,2112,2219
5,1090831,1,2219,2157
5,1090731,1,2157,2148
5,1090630,1,2148,2120
5,1090531,1,2120,2106
5,1090430,1,2106,2108
5,1090331,1,2108,2102
5,1090229,1,2102,2102
5,1090131,1,2102,2098
5,1081231,1,2098,2072
5,1081130,1,2072,2058
5,1081031,1,2058,2041
5,1080930,1,2041,2042
5,1080831,1,2042,1987
5,1080731,1,1987,1976
5,1080630,1,1976,1937
5,1080531,1,1937,1918
5,1080430,1,1918,1877
5,1080331,1,1877,1855
5,1080228,1,1855,1855
5,1080131,1,1855,1850
6,1120531,1,3409,3409
6,1120430,1,3409,3378
6,1120331,1,3378,3369
6,1120228,1,3369,3333
6,1120131,1,3333,3304
6,1111231,1,3304,3290
6,1111130,1,3290,3271
6,1111031,1,3271,3268
6,1110930,1,3268,3269
6,1110831,1,3269,3233
6,1110731,1,3233,3218
6,1110630,1,3218,3156
6,1110531,1,3156,3157
6,1110430,1,3157,3113
6,1110331,1,3113,3055
6,1110228,1,3055,3037
6,1110131,1,3037,3024
6,1101231,1,3024,3021
6,1101130,1,3021,3015
6,1101031,1,3015,3014
6,1100930,1,3014,2990
6,1100831,1,2990,2987
6,1100731,1,2987,2981
6,1100630,1,2981,2982
6,1100531,1,2982,2983
6,1100430,1,2983,2980
6,1100331,1,2980,2980
6,1100228,1,2980,2979
6,1100131,1,2979,2970
6,1091231,1,2970,3074
6,1091130,1,3074,3082
6,1091031,1,3082,3082
6,1090930,1,3082,3259
6,1090831,1,3259,3188
6,1090731,1,3188,3142
6,1090630,1,3142,3120
6,1090531,1,3120,3047
6,1090430,1,3047,3048
6,1090331,1,3048,3034
6,1090229,1,3034,3034
6,1090131,1,3034,3019
6,1081231,1,3019,3003
6,1081130,1,3003,2978
6,1081031,1,2978,2943
6,1080930,1,2943,2945
6,1080831,1,2945,2891
6,1080731,1,2891,2881
6,1080630,1,2881,2815
6,1080531,1,2815,2786
6,1080430,1,2786,2771
6,1080331,1,2771,2737
6,1080228,1,2737,2737
6,1080131,1,2737,2737
7,1120531,1,386,386
7,1120430,1,386,386
7,1120331,1,386,386
7,1120228,1,386,381
7,1120131,1,381,383
7,1111231,1,383,383
7,1111130,1,383,375
7,1111031,1,375,375
7,1110930,1,375,375
7,1110831,1,375,369
7,1110731,1,369,368
7,1110630,1,368,361
7,1110531,1,361,361
7,1110430,1,361,361
7,1110331,1,361,361
7,1110228,1,361,361
7,1110131,1,361,361
7,1101231,1,361,358
7,1101130,1,358,360
7,1101031,1,360,360
7,1100930,1,360,349
7,1100831,1,349,349
7,1100731,1,349,349
7,1100630,1,349,338
7,1100531,1,338,338
7,1100430,1,338,338
7,1100331,1,338,368
7,1100228,1,368,392
7,1100131,1,392,392
7,1091231,1,392,392
7,1091130,1,392,390
7,1091031,1,390,390
7,1090930,1,390,401
7,1090831,1,401,393
7,1090731,1,393,386
7,1090630,1,386,386
7,1090531,1,386,386
7,1090430,1,386,386
7,1090331,1,386,368
7,1090229,1,368,368
7,1090131,1,368,368
7,1081231,1,368,368
7,1081130,1,368,355
7,1081031,1,355,355
7,1080930,1,355,346
7,1080831,1,346,346
7,1080731,1,346,344
7,1080630,1,344,343
7,1080531,1,343,334
7,1080430,1,334,322
7,1080331,1,322,322
7,1080228,1,322,322
7,1080131,1,322,322
8,1120531,1,631,631
8,1120430,1,631,631
8,1120331,1,631,631
8,1120228,1,631,631
8,1120131,1,631,631
8,1111231,1,631,631
8,1111130,1,631,631
8,1111031,1,631,628
8,1110930,1,628,628
8,1110831,1,628,615
8,1110731,1,615,615
8,1110630,1,615,615
8,1110531,1,615,612
8,1110430,1,612,612
8,1110331,1,612,612
8,1110228,1,612,612
8,1110131,1,612,612
8,1101231,1,612,612
8,1101130,1,612,612
8,1101031,1,612,612
8,1100930,1,612,612
8,1100831,1,612,609
8,1100731,1,609,612
8,1100630,1,612,611
8,1100531,1,611,611
8,1100430,1,611,611
8,1100331,1,611,611
8,1100228,1,611,611
8,1100131,1,611,611
8,1091231,1,611,608
8,1091130,1,608,608
8,1091031,1,608,608
8,1090930,1,608,641
8,1090831,1,641,641
8,1090731,1,641,641
8,1090630,1,641,641
8,1090531,1,641,608
8,1090430,1,608,605
8,1090331,1,605,605
8,1090229,1,605,605
8,1090131,1,605,605
8,1081231,1,605,605
8,1081130,1,605,605
8,1081031,1,605,605
8,1080930,1,605,582
8,1080831,1,582,582
8,1080731,1,582,582
8,1080630,1,582,580
8,1080531,1,580,581
8,1080430,1,581,581
8,1080331,1,581,581
8,1080228,1,581,581
8,1080131,1,581,581
9,1120531,1,346,346
9,1120430,1,346,345
9,1120331,1,345,345
9,1120228,1,345,344
9,1120131,1,344,344
9,1111231,1,344,343
9,1111130,1,343,343
9,1111031,1,343,343
9,1110930,1,343,343
9,1110831,1,343,342
9,1110731,1,342,342
9,1110630,1,342,341
9,1110531,1,341,341
9,1110430,1,341,337
9,1110331,1,337,337
9,1110228,1,337,337
9,1110131,1,337,337
9,1101231,1,337,338
9,1101130,1,338,338
9,1101031,1,338,338
9,1100930,1,338,333
9,1100831,1,333,332
9,1100731,1,332,332
9,1100630,1,332,332
9,1100531,1,332,333
9,1100430,1,333,333
9,1100331,1,333,333
9,1100228,1,333,334
9,1100131,1,334,334
9,1091231,1,334,340
9,1091130,1,340,342
9,1091031,1,342,342
9,1090930,1,342,358
9,1090831,1,358,355
9,1090731,1,355,338
9,1090630,1,338,338
9,1090531,1,338,338
9,1090430,1,338,338
9,1090331,1,338,338
9,1090229,1,338,338
9,1090131,1,338,338
9,1081231,1,338,338
9,1081130,1,338,338
9,1081031,1,338,338
9,1080930,1,338,339
9,1080831,1,339,335
9,1080731,1,335,334
9,1080630,1,334,332
9,1080531,1,332,332
9,1080430,1,332,322
9,1080331,1,322,320
9,1080228,1,320,320
9,1080131,1,320,320
10,1120531,1,1075,1075
10,1120430,1,1075,1075
10,1120331,1,1075,1075
10,1120228,1,1075,1063
10,1120131,1,1063,1063
10,1111231,1,1063,1063
10,1111130,1,1063,1063
10,1111031,1,1063,1056
10,1110930,1,1056,1056
10,1110831,1,1056,1027
10,1110731,1,1027,1027
10,1110630,1,1027,1027
10,1110531,1,1027,1011
10,1110430,1,1011,1011
10,1110331,1,1011,1011
10,1110228,1,1011,1011
10,1110131,1,1011,1011
10,1101231,1,1011,1011
10,1101130,1,1011,1011
10,1101031,1,1011,1011
10,1100930,1,1011,1009
10,1100831,1,1009,1003
10,1100731,1,1003,1009
10,1100630,1,1009,1007
10,1100531,1,1007,1007
10,1100430,1,1007,1006
10,1100331,1,1006,1006
10,1100228,1,1006,1006
10,1100131,1,1006,1006
10,1091231,1,1006,998
10,1091130,1,998,998
10,1091031,1,998,998
10,1090930,1,998,1000
10,1090831,1,1000,1000
10,1090731,1,1000,1000
10,1090630,1,1000,1000
10,1090531,1,1000,998
10,1090430,1,998,970
10,1090331,1,970,970
10,1090229,1,970,970
10,1090131,1,970,970
10,1081231,1,970,970
10,1081130,1,970,970
