縣市,統計期,業者名稱,基地臺
17,1120531,中華電信股份有限公司                                                            ,990
18,1120531,中華電信股份有限公司                                                            ,978
21,1120531,中華電信股份有限公司                                                            ,320
13,1120531,中華電信股份有限公司                                                            ,1267
16,1120531,中華電信股份有限公司                                                            ,1181
11,1120531,中華電信股份有限公司                                                            ,1401
3,1120531,中華電信股份有限公司                                                            ,2154
6,1120531,中華電信股份有限公司                                                            ,3409
7,1120531,中華電信股份有限公司                                                            ,386
22,1120531,中華電信股份有限公司                                                            ,106
14,1120531,中華電信股份有限公司                                                            ,1327
2,1120531,中華電信股份有限公司                                                            ,3131
8,1120531,中華電信股份有限公司                                                            ,631
10,1120531,中華電信股份有限公司                                                            ,1075
9,1120531,中華電信股份有限公司                                                            ,346
15,1120531,中華電信股份有限公司                                                            ,1034
12,1120531,中華電信股份有限公司                                                            ,1892
4,1120531,中華電信股份有限公司                                                            ,4921
1,1120531,中華電信股份有限公司                                                            ,3068
19,1120531,中華電信股份有限公司                                                            ,662
5,1120531,中華電信股份有限公司                                                            ,2255
20,1120531,中華電信股份有限公司                                                            ,198
17,1120430,中華電信股份有限公司                                                            ,989
18,1120430,中華電信股份有限公司                                                            ,974
21,1120430,中華電信股份有限公司                                                            ,304
13,1120430,中華電信股份有限公司                                                            ,1246
16,1120430,中華電信股份有限公司                                                            ,1166
11,1120430,中華電信股份有限公司                                                            ,1365
3,1120430,中華電信股份有限公司                                                            ,2154
6,1120430,中華電信股份有限公司                                                            ,3378
7,1120430,中華電信股份有限公司                                                            ,386
22,1120430,中華電信股份有限公司                                                            ,106
14,1120430,中華電信股份有限公司                                                            ,1301
2,1120430,中華電信股份有限公司                                                            ,3126
8,1120430,中華電信股份有限公司                                                            ,631
10,1120430,中華電信股份有限公司                                                            ,1075
9,1120430,中華電信股份有限公司                                                            ,345
15,1120430,中華電信股份有限公司                                                            ,1024
12,1120430,中華電信股份有限公司                                                            ,1863
4,1120430,中華電信股份有限公司                                                            ,4859
1,1120430,中華電信股份有限公司                                                            ,3040
19,1120430,中華電信股份有限公司                                                            ,656
5,1120430,中華電信股份有限公司                                                            ,2219
20,1120430,中華電信股份有限公司                                                            ,196
17,1120331,中華電信股份有限公司                                                            ,988
18,1120331,中華電信股份有限公司                                                            ,972
21,1120331,中華電信股份有限公司                                                            ,301
13,1120331,中華電信股份有限公司                                                            ,1213
16,1120331,中華電信股份有限公司                                                            ,1165
11,1120331,中華電信股份有限公司                                                            ,1337
3,1120331,中華電信股份有限公司                                                            ,2149
6,1120331,中華電信股份有限公司                                                            ,3369
7,1120331,中華電信股份有限公司                                                            ,386
22,1120331,中華電信股份有限公司                                                            ,106
14,1120331,中華電信股份有限公司                                                            ,1285
2,1120331,中華電信股份有限公司                                                            ,3114
8,1120331,中華電信股份有限公司                                                            ,631
10,1120331,中華電信股份有限公司                                                            ,1075
9,1120331,中華電信股份有限公司                                                            ,345
15,1120331,中華電信股份有限公司                                                            ,1019
12,1120331,中華電信股份有限公司                                                            ,1840
4,1120331,中華電信股份有限公司                                                            ,4837
1,1120331,中華電信股份有限公司                                                            ,3034
19,1120331,中華電信股份有限公司                                                            ,656
5,1120331,中華電信股份有限公司                                                            ,2202
20,1120331,中華電信股份有限公司                                                            ,196
17,1120228,中華電信股份有限公司                                                            ,973
18,1120228,中華電信股份有限公司                                                            ,962
21,1120228,中華電信股份有限公司                                                            ,288
13,1120228,中華電信股份有限公司                                                            ,1238
16,1120228,中華電信股份有限公司                                                            ,1144
11,1120228,中華電信股份有限公司                                                            ,1355
3,1120228,中華電信股份有限公司                                                            ,2140
6,1120228,中華電信股份有限公司                                                            ,3333
7,1120228,中華電信股份有限公司                                                            ,381
22,1120228,中華電信股份有限公司                                                            ,105
14,1120228,中華電信股份有限公司                                                            ,1293
2,1120228,中華電信股份有限公司                                                            ,3088
8,1120228,中華電信股份有限公司                                                            ,631
10,1120228,中華電信股份有限公司                                                            ,1063
9,1120228,中華電信股份有限公司                                                            ,344
15,1120228,中華電信股份有限公司                                                            ,1010
12,1120228,中華電信股份有限公司                                                            ,1854
4,1120228,中華電信股份有限公司                                                            ,4854
1,1120228,中華電信股份有限公司                                                            ,3033
19,1120228,中華電信股份有限公司                                                            ,653
5,1120228,中華電信股份有限公司                                                            ,2178
20,1120228,中華電信股份有限公司                                                            ,196
17,1120131,中華電信股份有限公司                                                            ,990
18,1120131,中華電信股份有限公司                                                            ,964
21,1120131,中華電信股份有限公司                                                            ,287
13,1120131,中華電信股份有限公司                                                            ,1238
16,1120131,中華電信股份有限公司                                                            ,1134
11,1120131,中華電信股份有限公司                                                            ,1355
3,1120131,中華電信股份有限公司                                                            ,2140
6,1120131,中華電信股份有限公司                                                            ,3304
7,1120131,中華電信股份有限公司                                                            ,383
22,1120131,中華電信股份有限公司                                                            ,104
14,1120131,中華電信股份有限公司                                                            ,1294
2,1120131,中華電信股份有限公司                                                            ,3109
8,1120131,中華電信股份有限公司                                                            ,631
10,1120131,中華電信股份有限公司                                                            ,1063
9,1120131,中華電信股份有限公司                                                            ,344
15,1120131,中華電信股份有限公司                                                            ,1001
12,1120131,中華電信股份有限公司                                                            ,1854
4,1120131,中華電信股份有限公司                                                            ,4854
1,1120131,中華電信股份有限公司                                                            ,3022
19,1120131,中華電信股份有限公司                                                            ,649
5,1120131,中華電信股份有限公司                                                            ,2172
20,1120131,中華電信股份有限公司                                                            ,196
17,1111231,中華電信股份有限公司                                                            ,987
18,1111231,中華電信股份有限公司                                                            ,962
21,1111231,中華電信股份有限公司                                                            ,282
13,1111231,中華電信股份有限公司                                                            ,1236
16,1111231,中華電信股份有限公司                                                            ,1124
11,1111231,中華電信股份有限公司                                                            ,1355
3,1111231,中華電信股份有限公司                                                            ,2128
6,1111231,中華電信股份有限公司                                                            ,3290
7,1111231,中華電信股份有限公司                                                            ,383
22,1111231,中華電信股份有限公司                                                            ,104
14,1111231,中華電信股份有限公司                                                            ,1294
2,1111231,中華電信股份有限公司                                                            ,3097
8,1111231,中華電信股份有限公司                                                            ,631
10,1111231,中華電信股份有限公司                                                            ,1063
9,1111231,中華電信股份有限公司                                                            ,343
15,1111231,中華電信股份有限公司                                                            ,998
12,1111231,中華電信股份有限公司                                                            ,1854
4,1111231,中華電信股份有限公司                                                            ,4853
1,1111231,中華電信股份有限公司                                                            ,3020
19,1111231,中華電信股份有限公司                                                            ,649
5,1111231,中華電信股份有限公司                                                            ,2162
20,1111231,中華電信股份有限公司                                                            ,196
17,1111130,中華電信股份有限公司                                                            ,981
18,1111130,中華電信股份有限公司                                                            ,955
21,1111130,中華電信股份有限公司                                                            ,281
13,1111130,中華電信股份有限公司                                                            ,1231
16,1111130,中華電信股份有限公司                                                            ,1125
11,1111130,中華電信股份有限公司                                                            ,1356
3,1111130,中華電信股份有限公司                                                            ,2125
6,1111130,中華電信股份有限公司                                                            ,3271
7,1111130,中華電信股份有限公司                                                            ,375
22,1111130,中華電信股份有限公司                                                            ,100
14,1111130,中華電信股份有限公司                                                            ,1294
2,1111130,中華電信股份有限公司                                                            ,3063
8,1111130,中華電信股份有限公司                                                            ,631
10,1111130,中華電信股份有限公司                                                            ,1063
9,1111130,中華電信股份有限公司                                                            ,343
15,1111130,中華電信股份有限公司                                                            ,998
12,1111130,中華電信股份有限公司                                                            ,1854
4,1111130,中華電信股份有限公司                                                            ,4863
1,1111130,中華電信股份有限公司                                                            ,3015
19,1111130,中華電信股份有限公司                                                            ,651
5,1111130,中華電信股份有限公司                                                            ,2165
20,1111130,中華電信股份有限公司                                                            ,196
17,1111031,中華電信股份有限公司                                                            ,981
18,1111031,中華電信股份有限公司                                                            ,955
21,1111031,中華電信股份有限公司                                                            ,281
13,1111031,中華電信股份有限公司                                                            ,1230
16,1111031,中華電信股份有限公司                                                            ,1127
11,1111031,中華電信股份有限公司                                                            ,1356
3,1111031,中華電信股份有限公司                                                            ,2123
6,1111031,中華電信股份有限公司                                                            ,3268
7,1111031,中華電信股份有限公司                                                            ,375
22,1111031,中華電信股份有限公司                                                            ,97
14,1111031,中華電信股份有限公司                                                            ,1294
2,1111031,中華電信股份有限公司                                                            ,3053
8,1111031,中華電信股份有限公司                                                            ,628
10,1111031,中華電信股份有限公司                                                            ,1056
9,1111031,中華電信股份有限公司                                                            ,343
15,1111031,中華電信股份有限公司                                                            ,998
12,1111031,中華電信股份有限公司                                                            ,1854
4,1111031,中華電信股份有限公司                                                            ,4863
1,1111031,中華電信股份有限公司                                                            ,3015
19,1111031,中華電信股份有限公司                                                            ,652
5,1111031,中華電信股份有限公司                                                            ,2165
20,1111031,中華電信股份有限公司                                                            ,196
17,1110930,中華電信股份有限公司                                                            ,981
18,1110930,中華電信股份有限公司                                                            ,955
21,1110930,中華電信股份有限公司                                                            ,281
13,1110930,中華電信股份有限公司                                                            ,1231
16,1110930,中華電信股份有限公司                                                            ,1127
11,1110930,中華電信股份有限公司                                                            ,1355
3,1110930,中華電信股份有限公司                                                            ,2121
6,1110930,中華電信股份有限公司                                                            ,3269
7,1110930,中華電信股份有限公司                                                            ,375
22,1110930,中華電信股份有限公司                                                            ,97
14,1110930,中華電信股份有限公司                                                            ,1292
2,1110930,中華電信股份有限公司                                                            ,3053
8,1110930,中華電信股份有限公司                                                            ,628
10,1110930,中華電信股份有限公司                                                            ,1056
9,1110930,中華電信股份有限公司                                                            ,343
15,1110930,中華電信股份有限公司                                                            ,999
12,1110930,中華電信股份有限公司                                                            ,1851
4,1110930,中華電信股份有限公司                                                            ,4865
1,1110930,中華電信股份有限公司                                                            ,3015
19,1110930,中華電信股份有限公司                                                            ,652
5,1110930,中華電信股份有限公司                                                            ,2166
20,1110930,中華電信股份有限公司                                                            ,196
17,1110831,中華電信股份有限公司                                                            ,964
18,1110831,中華電信股份有限公司                                                            ,945
21,1110831,中華電信股份有限公司                                                            ,274
13,1110831,中華電信股份有限公司                                                            ,1231
16,1110831,中華電信股份有限公司                                                            ,1109
11,1110831,中華電信股份有限公司                                                            ,1355
3,1110831,中華電信股份有限公司                                                            ,2083
6,1110831,中華電信股份有限公司                                                            ,3233
7,1110831,中華電信股份有限公司                                                            ,369
22,1110831,中華電信股份有限公司                                                            ,96
14,1110831,中華電信股份有限公司                                                            ,1292
2,1110831,中華電信股份有限公司                                                            ,3014
8,1110831,中華電信股份有限公司                                                            ,615
10,1110831,中華電信股份有限公司                                                            ,1027
9,1110831,中華電信股份有限公司                                                            ,342
15,1110831,中華電信股份有限公司                                                            ,989
12,1110831,中華電信股份有限公司                                                            ,1854
4,1110831,中華電信股份有限公司                                                            ,4864
1,1110831,中華電信股份有限公司                                                            ,3000
19,1110831,中華電信股份有限公司                                                            ,651
5,1110831,中華電信股份有限公司                                                            ,2151
20,1110831,中華電信股份有限公司                                                            ,194
17,1110731,中華電信股份有限公司                                                            ,957
18,1110731,中華電信股份有限公司                                                            ,940
21,1110731,中華電信股份有限公司                                                            ,272
13,1110731,中華電信股份有限公司                                                            ,1229
16,1110731,中華電信股份有限公司                                                            ,1102
11,1110731,中華電信股份有限公司                                                            ,1353
3,1110731,中華電信股份有限公司                                                            ,2056
6,1110731,中華電信股份有限公司                                                            ,3218
7,1110731,中華電信股份有限公司                                                            ,368
22,1110731,中華電信股份有限公司                                                            ,93
14,1110731,中華電信股份有限公司                                                            ,1292
2,1110731,中華電信股份有限公司                                                            ,2995
8,1110731,中華電信股份有限公司                                                            ,615
10,1110731,中華電信股份有限公司                                                            ,1027
9,1110731,中華電信股份有限公司                                                            ,342
15,1110731,中華電信股份有限公司                                                            ,986
12,1110731,中華電信股份有限公司                                                            ,1854
4,1110731,中華電信股份有限公司                                                            ,4856
1,1110731,中華電信股份有限公司                                                            ,2968
19,1110731,中華電信股份有限公司                                                            ,648
5,1110731,中華電信股份有限公司                                                            ,2139
20,1110731,中華電信股份有限公司                                                            ,194
17,1110630,中華電信股份有限公司                                                            ,954
18,1110630,中華電信股份有限公司                                                            ,935
21,1110630,中華電信股份有限公司                                                            ,265
13,1110630,中華電信股份有限公司                                                            ,1218
16,1110630,中華電信股份有限公司                                                            ,1092
11,1110630,中華電信股份有限公司                                                            ,1346
3,1110630,中華電信股份有限公司                                                            ,2058
6,1110630,中華電信股份有限公司                                                            ,3156
7,1110630,中華電信股份有限公司                                                            ,361
22,1110630,中華電信股份有限公司                                                            ,93
14,1110630,中華電信股份有限公司                                                            ,1289
2,1110630,中華電信股份有限公司                                                            ,2897
8,1110630,中華電信股份有限公司                                                            ,615
10,1110630,中華電信股份有限公司                                                            ,1027
9,1110630,中華電信股份有限公司                                                            ,341
15,1110630,中華電信股份有限公司                                                            ,978
12,1110630,中華電信股份有限公司                                                            ,1846
4,1110630,中華電信股份有限公司                                                            ,4838
1,1110630,中華電信股份有限公司                                                            ,2936
19,1110630,中華電信股份有限公司                                                            ,645
5,1110630,中華電信股份有限公司                                                            ,2099
20,1110630,中華電信股份有限公司                                                            ,194
17,1110531,中華電信股份有限公司                                                            ,954
18,1110531,中華電信股份有限公司                                                            ,935
21,1110531,中華電信股份有限公司                                                            ,265
13,1110531,中華電信股份有限公司                                                            ,1209
16,1110531,中華電信股份有限公司                                                            ,1098
11,1110531,中華電信股份有限公司                                                            ,1333
3,1110531,中華電信股份有限公司                                                            ,2058
6,1110531,中華電信股份有限公司                                                            ,3157
7,1110531,中華電信股份有限公司                                                            ,361
22,1110531,中華電信股份有限公司                                                            ,93
14,1110531,中華電信股份有限公司                                                            ,1278
2,1110531,中華電信股份有限公司                                                            ,2897
8,1110531,中華電信股份有限公司                                                            ,612
10,1110531,中華電信股份有限公司                                                            ,1011
