縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
2,1120531,5,2690,2690
2,1120430,5,2690,2687
2,1120331,5,2687,2679
2,1120228,5,2679,2676
2,1120131,5,2676,2675
2,1111231,5,2675,2675
2,1111130,5,2675,2674
2,1111031,5,2674,2635
2,1110930,5,2635,2642
2,1110831,5,2642,2642
2,1110731,5,2642,2638
2,1110630,5,2638,2655
2,1110531,5,2655,2613
2,1110430,5,2613,2613
2,1110331,5,2613,2613
2,1110228,5,2613,2613
2,1110131,5,2613,2613
2,1101231,5,2613,2613
2,1101130,5,2613,2613
2,1101031,5,2613,2613
2,1100930,5,2613,2598
2,1100831,5,2598,2578
2,1100731,5,2578,2578
2,1100630,5,2578,2580
2,1100531,5,2580,2580
2,1100430,5,2580,2580
2,1100331,5,2580,2580
2,1100228,5,2580,2580
2,1100131,5,2580,2580
2,1091231,5,2580,2580
2,1091130,5,2580,2567
2,1091031,5,2567,2564
2,1090930,5,2564,2701
2,1090831,5,2701,2601
2,1090731,5,2601,2569
2,1090630,5,2569,2569
2,1090531,5,2569,2538
2,1090430,5,2538,2539
2,1090331,5,2539,2532
2,1090229,5,2532,2532
2,1090131,5,2532,2533
2,1081231,5,2533,2523
2,1081130,5,2523,2505
2,1081031,5,2505,2471
2,1080930,5,2471,2467
2,1080831,5,2467,2467
2,1080731,5,2467,2469
2,1080630,5,2469,2453
2,1080531,5,2453,2428
2,1080430,5,2428,2418
2,1080331,5,2418,2418
2,1080228,5,2418,2398
2,1080131,5,2398,2398
