縣市,統計期,業者名稱,基地臺
3,1120531,3,1538
3,1120430,3,1538
3,1120331,3,1538
3,1120228,3,1538
3,1120131,3,1538
3,1111231,3,1539
3,1111130,3,1542
3,1111031,3,1542
3,1110930,3,1543
3,1110831,3,1543
3,1110731,3,1545
3,1110630,3,1525
3,1110531,3,1525
3,1110430,3,1528
3,1110331,3,1510
3,1110228,3,1510
3,1110131,3,1512
3,1101231,3,1501
3,1101130,3,1501
3,1101031,3,1501
3,1100930,3,1501
3,1100831,3,1501
3,1100731,3,1501
3,1100630,3,1501
3,1100531,3,1501
3,1100430,3,1501
3,1100331,3,1501
3,1100228,3,1510
3,1100131,3,1510
3,1091231,3,1509
3,1091130,3,1500
3,1091031,3,1500
3,1090930,3,1527
3,1090831,3,1515
3,1090731,3,1516
3,1090630,3,1489
3,1090531,3,1460
3,1090430,3,1460
3,1090331,3,1460
3,1090229,3,1440
3,1090131,3,1440
3,1081231,3,1440
3,1081130,3,1440
3,1081031,3,1412
3,1080930,3,1412
3,1080831,3,1412
3,1080731,3,1412
3,1080630,3,1402
3,1080531,3,1402
3,1080430,3,1379
3,1080331,3,1379
3,1080228,3,1379
3,1080131,3,1358
