縣市,統計期,業者名稱,基地臺
17,1120531,4,203
18,1120531,4,192
21,1120531,4,32
13,1120531,4,282
16,1120531,4,512
11,1120531,4,317
3,1120531,4,1005
6,1120531,4,1315
7,1120531,4,221
22,1120531,4,12
14,1120531,4,250
2,1120531,4,1528
8,1120531,4,201
10,1120531,4,298
9,1120531,4,133
15,1120531,4,233
12,1120531,4,459
4,1120531,4,1710
1,1120531,4,1517
19,1120531,4,151
5,1120531,4,873
20,1120531,4,41
17,1120430,4,203
18,1120430,4,192
21,1120430,4,32
13,1120430,4,282
16,1120430,4,512
11,1120430,4,317
3,1120430,4,1005
6,1120430,4,1315
7,1120430,4,221
22,1120430,4,12
14,1120430,4,250
2,1120430,4,1528
8,1120430,4,202
10,1120430,4,300
9,1120430,4,133
15,1120430,4,233
12,1120430,4,459
4,1120430,4,1710
1,1120430,4,1517
19,1120430,4,151
5,1120430,4,873
20,1120430,4,41
17,1120331,4,203
18,1120331,4,192
21,1120331,4,32
13,1120331,4,282
16,1120331,4,512
11,1120331,4,317
3,1120331,4,1005
6,1120331,4,1315
7,1120331,4,221
22,1120331,4,12
14,1120331,4,250
2,1120331,4,1528
8,1120331,4,202
10,1120331,4,300
9,1120331,4,133
15,1120331,4,233
12,1120331,4,459
4,1120331,4,1710
1,1120331,4,1517
19,1120331,4,151
5,1120331,4,873
20,1120331,4,41
17,1120228,4,203
18,1120228,4,193
21,1120228,4,32
13,1120228,4,282
16,1120228,4,514
11,1120228,4,317
3,1120228,4,1005
6,1120228,4,1315
7,1120228,4,221
22,1120228,4,12
14,1120228,4,250
2,1120228,4,1529
8,1120228,4,202
10,1120228,4,300
9,1120228,4,133
15,1120228,4,233
12,1120228,4,459
4,1120228,4,1710
1,1120228,4,1517
19,1120228,4,151
5,1120228,4,873
20,1120228,4,41
17,1120131,4,203
18,1120131,4,193
21,1120131,4,32
13,1120131,4,282
16,1120131,4,514
11,1120131,4,317
3,1120131,4,1005
6,1120131,4,1315
7,1120131,4,221
22,1120131,4,12
14,1120131,4,250
2,1120131,4,1529
8,1120131,4,202
10,1120131,4,300
9,1120131,4,133
15,1120131,4,233
12,1120131,4,459
4,1120131,4,1710
1,1120131,4,1517
19,1120131,4,151
5,1120131,4,873
20,1120131,4,41
17,1111231,4,203
18,1111231,4,193
21,1111231,4,32
13,1111231,4,307
16,1111231,4,514
11,1111231,4,344
3,1111231,4,1005
6,1111231,4,1315
7,1111231,4,221
22,1111231,4,12
14,1111231,4,265
2,1111231,4,1529
8,1111231,4,208
10,1111231,4,307
9,1111231,4,133
15,1111231,4,233
12,1111231,4,478
4,1111231,4,1762
1,1111231,4,1517
19,1111231,4,151
5,1111231,4,873
20,1111231,4,41
17,1111130,4,205
18,1111130,4,193
21,1111130,4,32
13,1111130,4,307
16,1111130,4,506
11,1111130,4,344
3,1111130,4,1075
6,1111130,4,1300
7,1111130,4,232
22,1111130,4,12
14,1111130,4,265
2,1111130,4,1641
8,1111130,4,208
10,1111130,4,307
9,1111130,4,132
15,1111130,4,228
12,1111130,4,479
4,1111130,4,1762
1,1111130,4,1596
19,1111130,4,151
5,1111130,4,869
20,1111130,4,41
17,1111031,4,194
18,1111031,4,184
21,1111031,4,32
13,1111031,4,314
16,1111031,4,506
11,1111031,4,355
3,1111031,4,1015
6,1111031,4,1300
7,1111031,4,219
22,1111031,4,1
14,1111031,4,274
2,1111031,4,1563
8,1111031,4,209
10,1111031,4,317
9,1111031,4,132
15,1111031,4,228
12,1111031,4,502
4,1111031,4,1782
1,1111031,4,1530
19,1111031,4,151
5,1111031,4,869
20,1111031,4,41
17,1110930,4,194
18,1110930,4,184
21,1110930,4,32
13,1110930,4,310
16,1110930,4,506
11,1110930,4,342
3,1110930,4,1058
6,1110930,4,1299
7,1110930,4,219
22,1110930,4,1
14,1110930,4,268
2,1110930,4,1593
8,1110930,4,201
10,1110930,4,304
9,1110930,4,132
15,1110930,4,228
12,1110930,4,488
4,1110930,4,1750
1,1110930,4,1531
19,1110930,4,151
5,1110930,4,869
20,1110930,4,41
17,1110831,4,194
18,1110831,4,184
21,1110831,4,32
13,1110831,4,359
16,1110831,4,506
11,1110831,4,394
3,1110831,4,1058
6,1110831,4,1299
7,1110831,4,230
22,1110831,4,12
14,1110831,4,300
2,1110831,4,1606
8,1110831,4,201
10,1110831,4,304
9,1110831,4,132
15,1110831,4,229
12,1110831,4,510
4,1110831,4,1775
1,1110831,4,1584
19,1110831,4,151
5,1110831,4,869
20,1110831,4,41
17,1110731,4,194
18,1110731,4,184
21,1110731,4,28
13,1110731,4,359
16,1110731,4,479
11,1110731,4,394
3,1110731,4,1064
6,1110731,4,1262
7,1110731,4,230
22,1110731,4,12
14,1110731,4,300
2,1110731,4,1606
8,1110731,4,201
10,1110731,4,304
9,1110731,4,129
15,1110731,4,218
12,1110731,4,510
4,1110731,4,1775
1,1110731,4,1584
19,1110731,4,142
5,1110731,4,852
20,1110731,4,40
17,1110630,4,194
18,1110630,4,184
21,1110630,4,36
13,1110630,4,359
16,1110630,4,522
11,1110630,4,394
3,1110630,4,1064
6,1110630,4,1283
7,1110630,4,230
22,1110630,4,12
14,1110630,4,300
2,1110630,4,1606
8,1110630,4,201
10,1110630,4,304
9,1110630,4,129
15,1110630,4,250
12,1110630,4,510
4,1110630,4,1775
1,1110630,4,1584
19,1110630,4,142
5,1110630,4,865
20,1110630,4,44
17,1110531,4,194
18,1110531,4,185
21,1110531,4,36
13,1110531,4,359
16,1110531,4,522
11,1110531,4,394
3,1110531,4,1070
6,1110531,4,1283
7,1110531,4,230
22,1110531,4,20
14,1110531,4,300
2,1110531,4,1610
8,1110531,4,201
10,1110531,4,304
9,1110531,4,129
15,1110531,4,250
12,1110531,4,510
4,1110531,4,1775
1,1110531,4,1590
19,1110531,4,142
5,1110531,4,865
20,1110531,4,44
17,1110430,4,194
18,1110430,4,185
21,1110430,4,36
13,1110430,4,359
16,1110430,4,522
11,1110430,4,394
3,1110430,4,1070
6,1110430,4,1283
7,1110430,4,230
22,1110430,4,20
14,1110430,4,300
2,1110430,4,1610
8,1110430,4,201
10,1110430,4,304
9,1110430,4,129
15,1110430,4,250
12,1110430,4,510
4,1110430,4,1775
1,1110430,4,1590
19,1110430,4,142
5,1110430,4,865
20,1110430,4,44
17,1110331,4,194
18,1110331,4,185
21,1110331,4,36
13,1110331,4,359
16,1110331,4,522
11,1110331,4,394
3,1110331,4,1070
6,1110331,4,1284
7,1110331,4,230
22,1110331,4,20
14,1110331,4,300
2,1110331,4,1610
8,1110331,4,201
10,1110331,4,304
9,1110331,4,129
15,1110331,4,250
12,1110331,4,510
4,1110331,4,1775
1,1110331,4,1590
19,1110331,4,142
5,1110331,4,865
20,1110331,4,44
17,1110228,4,194
18,1110228,4,185
21,1110228,4,36
13,1110228,4,359
16,1110228,4,522
11,1110228,4,394
3,1110228,4,1070
6,1110228,4,1284
7,1110228,4,230
22,1110228,4,20
14,1110228,4,300
2,1110228,4,1610
8,1110228,4,201
10,1110228,4,304
9,1110228,4,130
15,1110228,4,250
12,1110228,4,510
4,1110228,4,1775
1,1110228,4,1590
19,1110228,4,142
5,1110228,4,866
20,1110228,4,44
17,1110131,4,194
18,1110131,4,185
21,1110131,4,36
13,1110131,4,359
16,1110131,4,522
11,1110131,4,394
3,1110131,4,1070
6,1110131,4,1285
7,1110131,4,230
22,1110131,4,20
14,1110131,4,300
2,1110131,4,1610
8,1110131,4,201
10,1110131,4,304
9,1110131,4,130
15,1110131,4,250
12,1110131,4,510
4,1110131,4,1775
1,1110131,4,1590
19,1110131,4,142
5,1110131,4,867
20,1110131,4,44
17,1101231,4,194
18,1101231,4,185
21,1101231,4,36
13,1101231,4,359
16,1101231,4,522
11,1101231,4,394
3,1101231,4,1070
6,1101231,4,1285
7,1101231,4,230
22,1101231,4,20
14,1101231,4,300
2,1101231,4,1610
8,1101231,4,201
10,1101231,4,304
9,1101231,4,130
15,1101231,4,252
12,1101231,4,510
4,1101231,4,1775
1,1101231,4,1590
19,1101231,4,142
5,1101231,4,867
20,1101231,4,44
17,1101130,4,194
18,1101130,4,185
21,1101130,4,36
13,1101130,4,359
16,1101130,4,522
11,1101130,4,394
3,1101130,4,1070
6,1101130,4,1285
7,1101130,4,230
22,1101130,4,20
14,1101130,4,300
2,1101130,4,1611
8,1101130,4,201
10,1101130,4,304
9,1101130,4,130
15,1101130,4,252
12,1101130,4,510
4,1101130,4,1775
1,1101130,4,1590
19,1101130,4,142
5,1101130,4,869
20,1101130,4,44
17,1101031,4,194
18,1101031,4,185
21,1101031,4,36
13,1101031,4,359
16,1101031,4,522
11,1101031,4,394
3,1101031,4,1024
6,1101031,4,1286
7,1101031,4,233
22,1101031,4,20
14,1101031,4,300
2,1101031,4,1559
8,1101031,4,201
10,1101031,4,304
9,1101031,4,130
15,1101031,4,252
12,1101031,4,510
4,1101031,4,1775
1,1101031,4,1586
19,1101031,4,142
5,1101031,4,869
20,1101031,4,44
17,1100930,4,194
18,1100930,4,185
21,1100930,4,36
13,1100930,4,354
16,1100930,4,517
11,1100930,4,389
3,1100930,4,1048
6,1100930,4,1281
7,1100930,4,233
22,1100930,4,20
14,1100930,4,296
2,1100930,4,1598
8,1100930,4,199
10,1100930,4,300
9,1100930,4,130
15,1100930,4,250
12,1100930,4,506
4,1100930,4,1749
1,1100930,4,1586
19,1100930,4,142
5,1100930,4,868
20,1100930,4,44
17,1100831,4,183
18,1100831,4,181
21,1100831,4,36
13,1100831,4,352
16,1100831,4,516
11,1100831,4,389
3,1100831,4,1013
6,1100831,4,1275
7,1100831,4,221
22,1100831,4,20
14,1100831,4,296
2,1100831,4,1571
8,1100831,4,191
10,1100831,4,293
9,1100831,4,130
15,1100831,4,251
12,1100831,4,501
4,1100831,4,1721
1,1100831,4,1575
19,1100831,4,142
5,1100831,4,858
20,1100831,4,44
17,1100731,4,183
18,1100731,4,181
21,1100731,4,36
13,1100731,4,352
16,1100731,4,510
11,1100731,4,389
3,1100731,4,1013
6,1100731,4,1257
7,1100731,4,221
22,1100731,4,20
14,1100731,4,296
2,1100731,4,1571
8,1100731,4,191
10,1100731,4,293
9,1100731,4,127
15,1100731,4,250
12,1100731,4,501
4,1100731,4,1721
1,1100731,4,1575
19,1100731,4,140
5,1100731,4,842
20,1100731,4,44
17,1100630,4,183
18,1100630,4,181
21,1100630,4,36
13,1100630,4,352
16,1100630,4,504
11,1100630,4,389
3,1100630,4,1013
6,1100630,4,1239
7,1100630,4,221
22,1100630,4,20
14,1100630,4,296
2,1100630,4,1574
8,1100630,4,191
10,1100630,4,293
9,1100630,4,125
15,1100630,4,242
12,1100630,4,501
4,1100630,4,1721
1,1100630,4,1575
19,1100630,4,137
5,1100630,4,830
20,1100630,4,44
17,1100531,4,182
18,1100531,4,180
21,1100531,4,36
13,1100531,4,352
16,1100531,4,503
11,1100531,4,389
3,1100531,4,1011
6,1100531,4,1240
7,1100531,4,218
22,1100531,4,20
14,1100531,4,296
2,1100531,4,1525
8,1100531,4,191
10,1100531,4,293
9,1100531,4,125
15,1100531,4,242
12,1100531,4,501
4,1100531,4,1721
1,1100531,4,1533
19,1100531,4,137
5,1100531,4,830
20,1100531,4,44
17,1100430,4,182
18,1100430,4,180
21,1100430,4,36
13,1100430,4,352
16,1100430,4,503
11,1100430,4,389
3,1100430,4,1011
6,1100430,4,1240
7,1100430,4,218
22,1100430,4,20
14,1100430,4,296
2,1100430,4,1525
8,1100430,4,191
10,1100430,4,293
9,1100430,4,125
15,1100430,4,242
12,1100430,4,501
4,1100430,4,1721
1,1100430,4,1533
19,1100430,4,137
5,1100430,4,831
20,1100430,4,44
17,1100331,4,182
18,1100331,4,180
21,1100331,4,36
13,1100331,4,352
16,1100331,4,503
11,1100331,4,389
3,1100331,4,1011
6,1100331,4,1243
7,1100331,4,218
22,1100331,4,20
14,1100331,4,296
2,1100331,4,1525
8,1100331,4,191
10,1100331,4,293
9,1100331,4,125
15,1100331,4,242
12,1100331,4,501
4,1100331,4,1721
1,1100331,4,1533
19,1100331,4,137
5,1100331,4,831
20,1100331,4,44
17,1100228,4,189
18,1100228,4,183
21,1100228,4,36
13,1100228,4,348
16,1100228,4,503
11,1100228,4,383
