縣市,統計期,業者名稱,之前的基地台數量,之前的基地台數量
9,1120531,2,261,261
9,1120430,2,261,262
9,1120331,2,262,265
9,1120228,2,265,266
9,1120131,2,266,269
9,1111231,2,269,269
9,1111130,2,269,270
9,1111031,2,270,270
9,1110930,2,270,270
9,1110831,2,270,270
9,1110731,2,270,269
9,1110630,2,269,269
9,1110531,2,269,269
9,1110430,2,269,269
9,1110331,2,269,269
9,1110228,2,269,269
9,1110131,2,269,269
9,1101231,2,269,269
9,1101130,2,269,271
9,1101031,2,271,271
9,1100930,2,271,271
9,1100831,2,271,271
9,1100731,2,271,269
9,1100630,2,269,269
9,1100531,2,269,269
9,1100430,2,269,265
9,1100331,2,265,260
9,1100228,2,260,260
9,1100131,2,260,260
9,1091231,2,260,260
9,1091130,2,260,260
9,1091031,2,260,260
9,1090930,2,260,260
9,1090831,2,260,260
9,1090731,2,260,260
9,1090630,2,260,261
9,1090531,2,261,261
9,1090430,2,261,261
9,1090331,2,261,261
9,1090229,2,261,260
9,1090131,2,260,260
9,1081231,2,260,260
9,1081130,2,260,260
9,1081031,2,260,257
9,1080930,2,257,257
9,1080831,2,257,254
9,1080731,2,254,253
9,1080630,2,253,254
9,1080531,2,254,254
9,1080430,2,254,254
9,1080331,2,254,252
9,1080228,2,252,252
9,1080131,2,252,250
