縣市,統計期,業者名稱,基地臺
宜蘭縣,1120531,中華電信股份有限公司                                                            ,990
花蓮縣,1120531,中華電信股份有限公司                                                            ,978
金門縣,1120531,中華電信股份有限公司                                                            ,320
南投縣,1120531,中華電信股份有限公司                                                            ,1267
屏東縣,1120531,中華電信股份有限公司                                                            ,1181
苗栗縣,1120531,中華電信股份有限公司                                                            ,1401
桃園市,1120531,中華電信股份有限公司                                                            ,2154
高雄市,1120531,中華電信股份有限公司                                                            ,3409
基隆市,1120531,中華電信股份有限公司                                                            ,386
連江縣,1120531,中華電信股份有限公司                                                            ,106
雲林縣,1120531,中華電信股份有限公司                                                            ,1327
新北市,1120531,中華電信股份有限公司                                                            ,3131
新竹市,1120531,中華電信股份有限公司                                                            ,631
新竹縣,1120531,中華電信股份有限公司                                                            ,1075
嘉義市,1120531,中華電信股份有限公司                                                            ,346
嘉義縣,1120531,中華電信股份有限公司                                                            ,1034
彰化縣,1120531,中華電信股份有限公司                                                            ,1892
臺中市,1120531,中華電信股份有限公司                                                            ,4921
臺北市,1120531,中華電信股份有限公司                                                            ,3068
臺東縣,1120531,中華電信股份有限公司                                                            ,662
臺南市,1120531,中華電信股份有限公司                                                            ,2255
澎湖縣,1120531,中華電信股份有限公司                                                            ,198
宜蘭縣,1120430,中華電信股份有限公司                                                            ,989
花蓮縣,1120430,中華電信股份有限公司                                                            ,974
金門縣,1120430,中華電信股份有限公司                                                            ,304
南投縣,1120430,中華電信股份有限公司                                                            ,1246
屏東縣,1120430,中華電信股份有限公司                                                            ,1166
苗栗縣,1120430,中華電信股份有限公司                                                            ,1365
桃園市,1120430,中華電信股份有限公司                                                            ,2154
高雄市,1120430,中華電信股份有限公司                                                            ,3378
基隆市,1120430,中華電信股份有限公司                                                            ,386
連江縣,1120430,中華電信股份有限公司                                                            ,106
雲林縣,1120430,中華電信股份有限公司                                                            ,1301
新北市,1120430,中華電信股份有限公司                                                            ,3126
新竹市,1120430,中華電信股份有限公司                                                            ,631
新竹縣,1120430,中華電信股份有限公司                                                            ,1075
嘉義市,1120430,中華電信股份有限公司                                                            ,345
嘉義縣,1120430,中華電信股份有限公司                                                            ,1024
彰化縣,1120430,中華電信股份有限公司                                                            ,1863
臺中市,1120430,中華電信股份有限公司                                                            ,4859
臺北市,1120430,中華電信股份有限公司                                                            ,3040
臺東縣,1120430,中華電信股份有限公司                                                            ,656
臺南市,1120430,中華電信股份有限公司                                                            ,2219
澎湖縣,1120430,中華電信股份有限公司                                                            ,196
宜蘭縣,1120331,中華電信股份有限公司                                                            ,988
花蓮縣,1120331,中華電信股份有限公司                                                            ,972
金門縣,1120331,中華電信股份有限公司                                                            ,301
南投縣,1120331,中華電信股份有限公司                                                            ,1213
屏東縣,1120331,中華電信股份有限公司                                                            ,1165
苗栗縣,1120331,中華電信股份有限公司                                                            ,1337
桃園市,1120331,中華電信股份有限公司                                                            ,2149
高雄市,1120331,中華電信股份有限公司                                                            ,3369
基隆市,1120331,中華電信股份有限公司                                                            ,386
連江縣,1120331,中華電信股份有限公司                                                            ,106
雲林縣,1120331,中華電信股份有限公司                                                            ,1285
新北市,1120331,中華電信股份有限公司                                                            ,3114
新竹市,1120331,中華電信股份有限公司                                                            ,631
新竹縣,1120331,中華電信股份有限公司                                                            ,1075
嘉義市,1120331,中華電信股份有限公司                                                            ,345
嘉義縣,1120331,中華電信股份有限公司                                                            ,1019
彰化縣,1120331,中華電信股份有限公司                                                            ,1840
臺中市,1120331,中華電信股份有限公司                                                            ,4837
臺北市,1120331,中華電信股份有限公司                                                            ,3034
臺東縣,1120331,中華電信股份有限公司                                                            ,656
臺南市,1120331,中華電信股份有限公司                                                            ,2202
澎湖縣,1120331,中華電信股份有限公司                                                            ,196
宜蘭縣,1120228,中華電信股份有限公司                                                            ,973
花蓮縣,1120228,中華電信股份有限公司                                                            ,962
金門縣,1120228,中華電信股份有限公司                                                            ,288
南投縣,1120228,中華電信股份有限公司                                                            ,1238
屏東縣,1120228,中華電信股份有限公司                                                            ,1144
苗栗縣,1120228,中華電信股份有限公司                                                            ,1355
桃園市,1120228,中華電信股份有限公司                                                            ,2140
高雄市,1120228,中華電信股份有限公司                                                            ,3333
基隆市,1120228,中華電信股份有限公司                                                            ,381
連江縣,1120228,中華電信股份有限公司                                                            ,105
雲林縣,1120228,中華電信股份有限公司                                                            ,1293
新北市,1120228,中華電信股份有限公司                                                            ,3088
新竹市,1120228,中華電信股份有限公司                                                            ,631
新竹縣,1120228,中華電信股份有限公司                                                            ,1063
嘉義市,1120228,中華電信股份有限公司                                                            ,344
嘉義縣,1120228,中華電信股份有限公司                                                            ,1010
彰化縣,1120228,中華電信股份有限公司                                                            ,1854
臺中市,1120228,中華電信股份有限公司                                                            ,4854
臺北市,1120228,中華電信股份有限公司                                                            ,3033
臺東縣,1120228,中華電信股份有限公司                                                            ,653
臺南市,1120228,中華電信股份有限公司                                                            ,2178
澎湖縣,1120228,中華電信股份有限公司                                                            ,196
宜蘭縣,1120131,中華電信股份有限公司                                                            ,990
花蓮縣,1120131,中華電信股份有限公司                                                            ,964
金門縣,1120131,中華電信股份有限公司                                                            ,287
南投縣,1120131,中華電信股份有限公司                                                            ,1238
屏東縣,1120131,中華電信股份有限公司                                                            ,1134
苗栗縣,1120131,中華電信股份有限公司                                                            ,1355
桃園市,1120131,中華電信股份有限公司                                                            ,2140
高雄市,1120131,中華電信股份有限公司                                                            ,3304
基隆市,1120131,中華電信股份有限公司                                                            ,383
連江縣,1120131,中華電信股份有限公司                                                            ,104
雲林縣,1120131,中華電信股份有限公司                                                            ,1294
新北市,1120131,中華電信股份有限公司                                                            ,3109
新竹市,1120131,中華電信股份有限公司                                                            ,631
新竹縣,1120131,中華電信股份有限公司                                                            ,1063
嘉義市,1120131,中華電信股份有限公司                                                            ,344
嘉義縣,1120131,中華電信股份有限公司                                                            ,1001
彰化縣,1120131,中華電信股份有限公司                                                            ,1854
臺中市,1120131,中華電信股份有限公司                                                            ,4854
臺北市,1120131,中華電信股份有限公司                                                            ,3022
臺東縣,1120131,中華電信股份有限公司                                                            ,649
臺南市,1120131,中華電信股份有限公司                                                            ,2172
澎湖縣,1120131,中華電信股份有限公司                                                            ,196
宜蘭縣,1111231,中華電信股份有限公司                                                            ,987
花蓮縣,1111231,中華電信股份有限公司                                                            ,962
金門縣,1111231,中華電信股份有限公司                                                            ,282
南投縣,1111231,中華電信股份有限公司                                                            ,1236
屏東縣,1111231,中華電信股份有限公司                                                            ,1124
苗栗縣,1111231,中華電信股份有限公司                                                            ,1355
桃園市,1111231,中華電信股份有限公司                                                            ,2128
高雄市,1111231,中華電信股份有限公司                                                            ,3290
基隆市,1111231,中華電信股份有限公司                                                            ,383
連江縣,1111231,中華電信股份有限公司                                                            ,104
雲林縣,1111231,中華電信股份有限公司                                                            ,1294
新北市,1111231,中華電信股份有限公司                                                            ,3097
新竹市,1111231,中華電信股份有限公司                                                            ,631
新竹縣,1111231,中華電信股份有限公司                                                            ,1063
嘉義市,1111231,中華電信股份有限公司                                                            ,343
嘉義縣,1111231,中華電信股份有限公司                                                            ,998
彰化縣,1111231,中華電信股份有限公司                                                            ,1854
臺中市,1111231,中華電信股份有限公司                                                            ,4853
臺北市,1111231,中華電信股份有限公司                                                            ,3020
臺東縣,1111231,中華電信股份有限公司                                                            ,649
臺南市,1111231,中華電信股份有限公司                                                            ,2162
澎湖縣,1111231,中華電信股份有限公司                                                            ,196
宜蘭縣,1111130,中華電信股份有限公司                                                            ,981
花蓮縣,1111130,中華電信股份有限公司                                                            ,955
金門縣,1111130,中華電信股份有限公司                                                            ,281
南投縣,1111130,中華電信股份有限公司                                                            ,1231
屏東縣,1111130,中華電信股份有限公司                                                            ,1125
苗栗縣,1111130,中華電信股份有限公司                                                            ,1356
桃園市,1111130,中華電信股份有限公司                                                            ,2125
高雄市,1111130,中華電信股份有限公司                                                            ,3271
基隆市,1111130,中華電信股份有限公司                                                            ,375
連江縣,1111130,中華電信股份有限公司                                                            ,100
雲林縣,1111130,中華電信股份有限公司                                                            ,1294
新北市,1111130,中華電信股份有限公司                                                            ,3063
新竹市,1111130,中華電信股份有限公司                                                            ,631
新竹縣,1111130,中華電信股份有限公司                                                            ,1063
嘉義市,1111130,中華電信股份有限公司                                                            ,343
嘉義縣,1111130,中華電信股份有限公司                                                            ,998
彰化縣,1111130,中華電信股份有限公司                                                            ,1854
臺中市,1111130,中華電信股份有限公司                                                            ,4863
臺北市,1111130,中華電信股份有限公司                                                            ,3015
臺東縣,1111130,中華電信股份有限公司                                                            ,651
臺南市,1111130,中華電信股份有限公司                                                            ,2165
澎湖縣,1111130,中華電信股份有限公司                                                            ,196
宜蘭縣,1111031,中華電信股份有限公司                                                            ,981
花蓮縣,1111031,中華電信股份有限公司                                                            ,955
金門縣,1111031,中華電信股份有限公司                                                            ,281
南投縣,1111031,中華電信股份有限公司                                                            ,1230
屏東縣,1111031,中華電信股份有限公司                                                            ,1127
苗栗縣,1111031,中華電信股份有限公司                                                            ,1356
桃園市,1111031,中華電信股份有限公司                                                            ,2123
高雄市,1111031,中華電信股份有限公司                                                            ,3268
基隆市,1111031,中華電信股份有限公司                                                            ,375
連江縣,1111031,中華電信股份有限公司                                                            ,97
雲林縣,1111031,中華電信股份有限公司                                                            ,1294
新北市,1111031,中華電信股份有限公司                                                            ,3053
新竹市,1111031,中華電信股份有限公司                                                            ,628
新竹縣,1111031,中華電信股份有限公司                                                            ,1056
嘉義市,1111031,中華電信股份有限公司                                                            ,343
嘉義縣,1111031,中華電信股份有限公司                                                            ,998
彰化縣,1111031,中華電信股份有限公司                                                            ,1854
臺中市,1111031,中華電信股份有限公司                                                            ,4863
臺北市,1111031,中華電信股份有限公司                                                            ,3015
臺東縣,1111031,中華電信股份有限公司                                                            ,652
臺南市,1111031,中華電信股份有限公司                                                            ,2165
澎湖縣,1111031,中華電信股份有限公司                                                            ,196
宜蘭縣,1110930,中華電信股份有限公司                                                            ,981
花蓮縣,1110930,中華電信股份有限公司                                                            ,955
金門縣,1110930,中華電信股份有限公司                                                            ,281
南投縣,1110930,中華電信股份有限公司                                                            ,1231
屏東縣,1110930,中華電信股份有限公司                                                            ,1127
苗栗縣,1110930,中華電信股份有限公司                                                            ,1355
桃園市,1110930,中華電信股份有限公司                                                            ,2121
高雄市,1110930,中華電信股份有限公司                                                            ,3269
基隆市,1110930,中華電信股份有限公司                                                            ,375
連江縣,1110930,中華電信股份有限公司                                                            ,97
雲林縣,1110930,中華電信股份有限公司                                                            ,1292
新北市,1110930,中華電信股份有限公司                                                            ,3053
新竹市,1110930,中華電信股份有限公司                                                            ,628
新竹縣,1110930,中華電信股份有限公司                                                            ,1056
嘉義市,1110930,中華電信股份有限公司                                                            ,343
嘉義縣,1110930,中華電信股份有限公司                                                            ,999
彰化縣,1110930,中華電信股份有限公司                                                            ,1851
臺中市,1110930,中華電信股份有限公司                                                            ,4865
臺北市,1110930,中華電信股份有限公司                                                            ,3015
臺東縣,1110930,中華電信股份有限公司                                                            ,652
臺南市,1110930,中華電信股份有限公司                                                            ,2166
澎湖縣,1110930,中華電信股份有限公司                                                            ,196
宜蘭縣,1110831,中華電信股份有限公司                                                            ,964
花蓮縣,1110831,中華電信股份有限公司                                                            ,945
金門縣,1110831,中華電信股份有限公司                                                            ,274
南投縣,1110831,中華電信股份有限公司                                                            ,1231
屏東縣,1110831,中華電信股份有限公司                                                            ,1109
苗栗縣,1110831,中華電信股份有限公司                                                            ,1355
桃園市,1110831,中華電信股份有限公司                                                            ,2083
高雄市,1110831,中華電信股份有限公司                                                            ,3233
基隆市,1110831,中華電信股份有限公司                                                            ,369
連江縣,1110831,中華電信股份有限公司                                                            ,96
雲林縣,1110831,中華電信股份有限公司                                                            ,1292
新北市,1110831,中華電信股份有限公司                                                            ,3014
新竹市,1110831,中華電信股份有限公司                                                            ,615
新竹縣,1110831,中華電信股份有限公司                                                            ,1027
嘉義市,1110831,中華電信股份有限公司                                                            ,342
嘉義縣,1110831,中華電信股份有限公司                                                            ,989
彰化縣,1110831,中華電信股份有限公司                                                            ,1854
臺中市,1110831,中華電信股份有限公司                                                            ,4864
臺北市,1110831,中華電信股份有限公司                                                            ,3000
臺東縣,1110831,中華電信股份有限公司                                                            ,651
臺南市,1110831,中華電信股份有限公司                                                            ,2151
澎湖縣,1110831,中華電信股份有限公司                                                            ,194
宜蘭縣,1110731,中華電信股份有限公司                                                            ,957
花蓮縣,1110731,中華電信股份有限公司                                                            ,940
金門縣,1110731,中華電信股份有限公司                                                            ,272
南投縣,1110731,中華電信股份有限公司                                                            ,1229
屏東縣,1110731,中華電信股份有限公司                                                            ,1102
苗栗縣,1110731,中華電信股份有限公司                                                            ,1353
桃園市,1110731,中華電信股份有限公司                                                            ,2056
高雄市,1110731,中華電信股份有限公司                                                            ,3218
基隆市,1110731,中華電信股份有限公司                                                            ,368
連江縣,1110731,中華電信股份有限公司                                                            ,93
雲林縣,1110731,中華電信股份有限公司                                                            ,1292
新北市,1110731,中華電信股份有限公司                                                            ,2995
新竹市,1110731,中華電信股份有限公司                                                            ,615
新竹縣,1110731,中華電信股份有限公司                                                            ,1027
嘉義市,1110731,中華電信股份有限公司                                                            ,342
嘉義縣,1110731,中華電信股份有限公司                                                            ,986
彰化縣,1110731,中華電信股份有限公司                                                            ,1854
臺中市,1110731,中華電信股份有限公司                                                            ,4856
臺北市,1110731,中華電信股份有限公司                                                            ,2968
臺東縣,1110731,中華電信股份有限公司                                                            ,648
臺南市,1110731,中華電信股份有限公司                                                            ,2139
澎湖縣,1110731,中華電信股份有限公司                                                            ,194
宜蘭縣,1110630,中華電信股份有限公司                                                            ,954
花蓮縣,1110630,中華電信股份有限公司                                                            ,935
金門縣,1110630,中華電信股份有限公司                                                            ,265
南投縣,1110630,中華電信股份有限公司                                                            ,1218
屏東縣,1110630,中華電信股份有限公司                                                            ,1092
苗栗縣,1110630,中華電信股份有限公司                                                            ,1346
桃園市,1110630,中華電信股份有限公司                                                            ,2058
高雄市,1110630,中華電信股份有限公司                                                            ,3156
基隆市,1110630,中華電信股份有限公司                                                            ,361
連江縣,1110630,中華電信股份有限公司                                                            ,93
雲林縣,1110630,中華電信股份有限公司                                                            ,1289
新北市,1110630,中華電信股份有限公司                                                            ,2897
新竹市,1110630,中華電信股份有限公司                                                            ,615
新竹縣,1110630,中華電信股份有限公司                                                            ,1027
嘉義市,1110630,中華電信股份有限公司                                                            ,341
嘉義縣,1110630,中華電信股份有限公司                                                            ,978
彰化縣,1110630,中華電信股份有限公司                                                            ,1846
臺中市,1110630,中華電信股份有限公司                                                            ,4838
臺北市,1110630,中華電信股份有限公司                                                            ,2936
臺東縣,1110630,中華電信股份有限公司                                                            ,645
臺南市,1110630,中華電信股份有限公司                                                            ,2099
澎湖縣,1110630,中華電信股份有限公司                                                            ,194
宜蘭縣,1110531,中華電信股份有限公司                                                            ,954
花蓮縣,1110531,中華電信股份有限公司                                                            ,935
金門縣,1110531,中華電信股份有限公司                                                            ,265
南投縣,1110531,中華電信股份有限公司                                                            ,1209
屏東縣,1110531,中華電信股份有限公司                                                            ,1098
苗栗縣,1110531,中華電信股份有限公司                                                            ,1333
桃園市,1110531,中華電信股份有限公司                                                            ,2058
高雄市,1110531,中華電信股份有限公司                                                            ,3157
基隆市,1110531,中華電信股份有限公司                                                            ,361
連江縣,1110531,中華電信股份有限公司                                                            ,93
雲林縣,1110531,中華電信股份有限公司                                                            ,1278
新北市,1110531,中華電信股份有限公司                                                            ,2897
新竹市,1110531,中華電信股份有限公司                                                            ,612
新竹縣,1110531,中華電信股份有限公司                                                            ,1011
嘉義市,1110531,中華電信股份有限公司                                                            ,341
嘉義縣,1110531,中華電信股份有限公司                                                            ,979
彰化縣,1110531,中華電信股份有限公司                                                            ,1833
臺中市,1110531,中華電信股份有限公司                                                            ,4807
臺北市,1110531,中華電信股份有限公司                                                            ,2936
臺東縣,1110531,中華電信股份有限公司                                                            ,646
臺南市,1110531,中華電信股份有限公司                                                            ,2107
澎湖縣,1110531,中華電信股份有限公司                                                            ,194
宜蘭縣,1110430,中華電信股份有限公司                                                            ,954
花蓮縣,1110430,中華電信股份有限公司                                                            ,931
金門縣,1110430,中華電信股份有限公司                                                            ,261
