縣市,基地臺
17,990
18,978
21,320
13,1267
16,1181
11,1401
3,2154
6,3409
7,386
22,106
14,1327
2,3131
8,631
10,1075
9,346
15,1034
12,1892
4,4921
1,3068
19,662
5,2255
20,198
17,989
18,974
21,304
13,1246
16,1166
11,1365
3,2154
6,3378
7,386
22,106
14,1301
2,3126
8,631
10,1075
9,345
15,1024
12,1863
4,4859
1,3040
19,656
5,2219
20,196
17,988
18,972
21,301
13,1213
16,1165
11,1337
3,2149
6,3369
7,386
22,106
14,1285
2,3114
8,631
10,1075
9,345
15,1019
12,1840
4,4837
1,3034
19,656
5,2202
20,196
17,973
18,962
21,288
13,1238
16,1144
11,1355
3,2140
6,3333
7,381
22,105
14,1293
2,3088
8,631
10,1063
9,344
15,1010
12,1854
4,4854
1,3033
19,653
5,2178
20,196
17,990
18,964
21,287
13,1238
16,1134
11,1355
3,2140
6,3304
7,383
22,104
14,1294
2,3109
8,631
10,1063
9,344
15,1001
12,1854
4,4854
1,3022
19,649
5,2172
20,196
17,987
18,962
21,282
13,1236
16,1124
11,1355
3,2128
6,3290
7,383
22,104
14,1294
2,3097
8,631
10,1063
9,343
15,998
12,1854
4,4853
1,3020
19,649
5,2162
20,196
17,981
18,955
21,281
13,1231
16,1125
11,1356
3,2125
6,3271
7,375
22,100
14,1294
2,3063
8,631
10,1063
9,343
15,998
12,1854
4,4863
1,3015
19,651
5,2165
20,196
17,981
18,955
21,281
13,1230
16,1127
11,1356
3,2123
6,3268
7,375
22,97
14,1294
2,3053
8,628
10,1056
9,343
15,998
12,1854
4,4863
1,3015
19,652
5,2165
20,196
17,981
18,955
21,281
13,1231
16,1127
11,1355
3,2121
6,3269
7,375
22,97
14,1292
2,3053
8,628
10,1056
9,343
15,999
12,1851
4,4865
1,3015
19,652
5,2166
20,196
17,964
18,945
21,274
13,1231
16,1109
11,1355
3,2083
6,3233
7,369
22,96
14,1292
2,3014
8,615
10,1027
9,342
15,989
12,1854
4,4864
1,3000
19,651
5,2151
20,194
17,957
18,940
21,272
13,1229
16,1102
11,1353
3,2056
6,3218
7,368
22,93
14,1292
2,2995
8,615
10,1027
9,342
15,986
12,1854
4,4856
1,2968
19,648
5,2139
20,194
17,954
18,935
21,265
13,1218
16,1092
11,1346
3,2058
6,3156
7,361
22,93
14,1289
2,2897
8,615
10,1027
9,341
15,978
12,1846
4,4838
1,2936
19,645
5,2099
20,194
17,954
18,935
21,265
13,1209
16,1098
11,1333
3,2058
6,3157
7,361
22,93
14,1278
2,2897
8,612
10,1011
9,341
15,979
