統計期,基地臺
1120531,990
1120531,978
1120531,320
1120531,1267
1120531,1181
1120531,1401
1120531,2154
1120531,3409
1120531,386
1120531,106
1120531,1327
1120531,3131
1120531,631
1120531,1075
1120531,346
1120531,1034
1120531,1892
1120531,4921
1120531,3068
1120531,662
1120531,2255
1120531,198
1120430,989
1120430,974
1120430,304
1120430,1246
1120430,1166
1120430,1365
1120430,2154
1120430,3378
1120430,386
1120430,106
1120430,1301
1120430,3126
1120430,631
1120430,1075
1120430,345
1120430,1024
1120430,1863
1120430,4859
1120430,3040
1120430,656
1120430,2219
1120430,196
1120331,988
1120331,972
1120331,301
1120331,1213
1120331,1165
1120331,1337
1120331,2149
1120331,3369
1120331,386
1120331,106
1120331,1285
1120331,3114
1120331,631
1120331,1075
1120331,345
1120331,1019
1120331,1840
1120331,4837
1120331,3034
1120331,656
1120331,2202
1120331,196
1120228,973
1120228,962
1120228,288
1120228,1238
1120228,1144
1120228,1355
1120228,2140
1120228,3333
1120228,381
1120228,105
1120228,1293
1120228,3088
1120228,631
1120228,1063
1120228,344
1120228,1010
1120228,1854
1120228,4854
1120228,3033
1120228,653
1120228,2178
1120228,196
1120131,990
1120131,964
1120131,287
1120131,1238
1120131,1134
1120131,1355
1120131,2140
1120131,3304
1120131,383
1120131,104
1120131,1294
1120131,3109
1120131,631
1120131,1063
1120131,344
1120131,1001
1120131,1854
1120131,4854
1120131,3022
1120131,649
1120131,2172
1120131,196
1111231,987
1111231,962
1111231,282
1111231,1236
1111231,1124
1111231,1355
1111231,2128
1111231,3290
1111231,383
1111231,104
1111231,1294
1111231,3097
1111231,631
1111231,1063
1111231,343
1111231,998
1111231,1854
1111231,4853
1111231,3020
1111231,649
1111231,2162
1111231,196
1111130,981
1111130,955
1111130,281
1111130,1231
1111130,1125
1111130,1356
1111130,2125
1111130,3271
1111130,375
1111130,100
1111130,1294
1111130,3063
1111130,631
1111130,1063
1111130,343
1111130,998
1111130,1854
1111130,4863
1111130,3015
1111130,651
1111130,2165
1111130,196
1111031,981
1111031,955
1111031,281
1111031,1230
1111031,1127
1111031,1356
1111031,2123
1111031,3268
1111031,375
1111031,97
1111031,1294
1111031,3053
1111031,628
1111031,1056
1111031,343
1111031,998
1111031,1854
1111031,4863
1111031,3015
1111031,652
1111031,2165
1111031,196
1110930,981
1110930,955
1110930,281
1110930,1231
1110930,1127
1110930,1355
1110930,2121
1110930,3269
1110930,375
1110930,97
1110930,1292
1110930,3053
1110930,628
1110930,1056
1110930,343
1110930,999
1110930,1851
1110930,4865
1110930,3015
1110930,652
1110930,2166
1110930,196
1110831,964
1110831,945
1110831,274
1110831,1231
1110831,1109
1110831,1355
1110831,2083
1110831,3233
1110831,369
1110831,96
1110831,1292
1110831,3014
1110831,615
1110831,1027
1110831,342
1110831,989
1110831,1854
1110831,4864
1110831,3000
1110831,651
1110831,2151
1110831,194
1110731,957
1110731,940
1110731,272
1110731,1229
1110731,1102
1110731,1353
1110731,2056
1110731,3218
1110731,368
1110731,93
1110731,1292
1110731,2995
1110731,615
1110731,1027
1110731,342
1110731,986
1110731,1854
1110731,4856
1110731,2968
1110731,648
1110731,2139
