業者名稱,基地臺
1,990
1,978
1,320
1,1267
1,1181
1,1401
1,2154
1,3409
1,386
1,106
1,1327
1,3131
1,631
1,1075
1,346
1,1034
1,1892
1,4921
1,3068
1,662
1,2255
1,198
1,989
1,974
1,304
1,1246
1,1166
1,1365
1,2154
1,3378
1,386
1,106
1,1301
1,3126
1,631
1,1075
1,345
1,1024
1,1863
1,4859
1,3040
1,656
1,2219
1,196
1,988
1,972
1,301
1,1213
1,1165
1,1337
1,2149
1,3369
1,386
1,106
1,1285
1,3114
1,631
1,1075
1,345
1,1019
1,1840
1,4837
1,3034
1,656
1,2202
1,196
1,973
1,962
1,288
1,1238
1,1144
1,1355
1,2140
1,3333
1,381
1,105
1,1293
1,3088
1,631
1,1063
1,344
1,1010
1,1854
1,4854
1,3033
1,653
1,2178
1,196
1,990
1,964
1,287
1,1238
1,1134
1,1355
1,2140
1,3304
1,383
1,104
1,1294
1,3109
1,631
1,1063
1,344
1,1001
1,1854
1,4854
1,3022
1,649
1,2172
1,196
1,987
1,962
1,282
1,1236
1,1124
1,1355
1,2128
1,3290
1,383
1,104
1,1294
1,3097
1,631
1,1063
1,343
1,998
1,1854
1,4853
1,3020
1,649
1,2162
1,196
1,981
1,955
1,281
1,1231
1,1125
1,1356
1,2125
1,3271
1,375
1,100
1,1294
1,3063
1,631
1,1063
1,343
1,998
1,1854
1,4863
1,3015
1,651
1,2165
1,196
1,981
1,955
1,281
1,1230
1,1127
1,1356
1,2123
1,3268
1,375
1,97
1,1294
1,3053
1,628
1,1056
1,343
1,998
1,1854
1,4863
1,3015
1,652
1,2165
1,196
1,981
1,955
1,281
1,1231
1,1127
1,1355
1,2121
1,3269
1,375
1,97
1,1292
1,3053
1,628
1,1056
1,343
1,999
1,1851
1,4865
1,3015
1,652
1,2166
1,196
1,964
1,945
1,274
1,1231
1,1109
1,1355
1,2083
1,3233
1,369
1,96
1,1292
1,3014
1,615
1,1027
1,342
1,989
1,1854
1,4864
1,3000
1,651
1,2151
1,194
1,957
1,940
1,272
1,1229
1,1102
1,1353
1,2056
1,3218
1,368
1,93
1,1292
1,2995
1,615
1,1027
1,342
1,986
1,1854
1,4856
1,2968
1,648
1,2139
1,194
1,954
1,935
1,265
1,1218
1,1092
1,1346
1,2058
1,3156
1,361
1,93
1,1289
1,2897
1,615
1,1027
1,341
1,978
1,1846
1,4838
1,2936
1,645
1,2099
1,194
1,954
1,935
1,265
1,1209
1,1098
1,1333
1,2058
1,3157
1,361
1,93
1,1278
1,2897
1,612
1,1011
1,341
1,979
1,1833
1,4807
1,2936
1,646
1,2107
1,194
1,954
1,931
1,261
1,1210
1,1085
1,1333
1,2053
1,3113
1,361
1,93
1,1278
1,2883
1,612
1,1011
1,337
1,974
1,1835
1,4817
1,2913
1,642
1,2094
1,192
1,954
1,935
1,257
1,1204
1,1072
1,1319
1,2058
1,3055
1,361
1,93
1,1275
1,2897
1,612
1,1011
1,337
1,968
1,1827
1,4812
1,2932
1,637
1,2083
1,191
1,954
1,935
1,257
1,1193
1,1067
1,1304
1,2058
1,3037
1,361
1,93
1,1268
1,2897
1,612
1,1011
1,337
1,968
1,1813
1,4797
1,2932
1,636
1,2082
1,191
1,954
1,935
1,257
1,1193
1,1067
1,1304
1,2058
1,3024
1,361
1,93
1,1268
1,2897
1,612
1,1011
1,337
1,968
1,1811
1,4797
1,2932
1,636
1,2082
1,191
1,954
1,935
1,257
1,1193
1,1067
1,1305
1,2057
1,3021
1,358
1,92
1,1268
1,2896
1,612
1,1011
1,338
1,969
1,1812
1,4800
1,2888
1,636
1,2082
1,191
1,954
1,935
1,257
1,1193
1,1066
1,1305
1,2057
1,3015
1,360
1,92
1,1268
1,2896
1,612
1,1011
1,338
1,969
1,1812
1,4800
1,2888
1,632
1,2083
1,191
1,954
1,935
1,255
1,1193
1,1068
1,1306
1,2057
1,3014
1,360
1,92
1,1270
1,2896
1,612
1,1011
1,338
1,970
1,1812
1,4805
1,2888
1,632
1,2083
1,191
1,954
1,933
1,252
1,1197
1,1056
1,1306
1,2056
1,2990
1,349
1,92
1,1275
1,2891
1,612
1,1009
1,333
1,958
1,1813
1,4813
1,2707
1,624
1,2062
1,191
1,954
1,933
1,252
1,1194
1,1056
1,1302
1,2056
1,2987
1,349
1,92
1,1271
1,2891
1,609
1,1003
1,332
1,958
1,1812
1,4816
1,2707
1,624
1,2056
1,191
1,954
1,933
1,250
1,1193
1,1055
1,1288
1,2056
1,2981
1,349
1,92
1,1259
1,2891
1,612
1,1009
1,332
1,946
1,1808
1,4820
1,2707
1,624
1,2044
1,191
1,954
1,928
1,250
1,1192
1,1055
1,1288
1,2056
1,2982
1,338
1,92
1,1259
1,2892
1,611
1,1007
1,332
1,946
1,1808
1,4819
1,2676
1,624
1,2049
1,191
1,954
1,930
1,250
1,1193
1,1055
1,1288
1,2056
1,2983
1,338
1,92
1,1259
1,2892
1,611
1,1007
1,333
1,946
1,1808
1,4820
1,2676
1,624
1,2049
1,191
1,954
1,930
1,250
1,1193
1,1055
1,1288
1,2056
1,2980
1,338
1,92
1,1259
1,2892
1,611
1,1006
1,333
1,946
1,1808
1,4822
1,2678
1,624
1,2051
1,191
1,986
1,938
1,250
1,1193
1,1055
1,1287
1,2091
1,2980
1,368
1,92
1,1259
